Nr.p.k.,Norise,Iestāde,Pašvaldība,Punkti Lasīšana,Procenti Lasīšana,Punkti Klausīšanās,Procenti Klausīšanās,Punkti Rakstīšana,Procenti Rakstīšana,Punkti Runāšana,Procenti Runāšana,Punkti kopā,Procenti kopā,Tips,Urbanizācija
409,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Centra vidusskola programmu īstenošanas vieta KANDAVAS IELA 17, DAUGAVPILS, LV-5401",Daugavpils,"16,0000",64,"3,0000",12,"18,1250",72,"15,0000",60,"52,1250",52,vidusskola,Valstspilsētas
410,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Centra vidusskola programmu īstenošanas vieta KANDAVAS IELA 17, DAUGAVPILS, LV-5401",Daugavpils,"13,0000",52,"3,0000",12,"15,6250",62,"19,0000",76,"50,6250",50,vidusskola,Valstspilsētas
411,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Centra vidusskola programmu īstenošanas vieta KANDAVAS IELA 17, DAUGAVPILS, LV-5401",Daugavpils,"13,0000",52,"7,0000",28,"18,1250",72,"18,0000",72,"56,1250",56,vidusskola,Valstspilsētas
412,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Draudzīgā aicinājuma vidusskola programmu īstenošanas vieta AVEŅU IELA 40, DAUGAVPILS, LV-5422",Daugavpils,"11,0000",44,"7,0000",28,"11,8750",47,"25,0000",100,"54,8750",54,vidusskola,Valstspilsētas
413,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Draudzīgā aicinājuma vidusskola programmu īstenošanas vieta AVEŅU IELA 40, DAUGAVPILS, LV-5422",Daugavpils,"15,0000",60,"15,0000",60,"23,7500",95,"24,0000",96,"77,7500",77,vidusskola,Valstspilsētas
414,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Draudzīgā aicinājuma vidusskola programmu īstenošanas vieta AVEŅU IELA 40, DAUGAVPILS, LV-5422",Daugavpils,"10,0000",40,"4,0000",16,"0,0000",0,"12,0000",48,"26,0000",26,vidusskola,Valstspilsētas
415,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Draudzīgā aicinājuma vidusskola programmu īstenošanas vieta AVEŅU IELA 40, DAUGAVPILS, LV-5422",Daugavpils,"7,0000",28,"5,0000",20,"18,1250",72,"12,0000",48,"42,1250",42,vidusskola,Valstspilsētas
416,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Draudzīgā aicinājuma vidusskola programmu īstenošanas vieta AVEŅU IELA 40, DAUGAVPILS, LV-5422",Daugavpils,"6,0000",24,"6,0000",24,"10,0000",40,"19,0000",76,"41,0000",41,vidusskola,Valstspilsētas
417,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Draudzīgā aicinājuma vidusskola programmu īstenošanas vieta AVEŅU IELA 40, DAUGAVPILS, LV-5422",Daugavpils,"9,0000",36,"10,0000",40,"12,5000",50,"21,0000",84,"52,5000",52,vidusskola,Valstspilsētas
418,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Draudzīgā aicinājuma vidusskola programmu īstenošanas vieta AVEŅU IELA 40, DAUGAVPILS, LV-5422",Daugavpils,"14,0000",56,"5,0000",20,"8,7500",35,"18,0000",72,"45,7500",45,vidusskola,Valstspilsētas
419,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Draudzīgā aicinājuma vidusskola programmu īstenošanas vieta AVEŅU IELA 40, DAUGAVPILS, LV-5422",Daugavpils,"8,0000",32,"6,0000",24,"6,2500",25,"15,0000",60,"35,2500",35,vidusskola,Valstspilsētas
420,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Draudzīgā aicinājuma vidusskola programmu īstenošanas vieta AVEŅU IELA 40, DAUGAVPILS, LV-5422",Daugavpils,"11,0000",44,"8,0000",32,"7,5000",30,"20,0000",80,"46,5000",46,vidusskola,Valstspilsētas
421,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Draudzīgā aicinājuma vidusskola programmu īstenošanas vieta AVEŅU IELA 40, DAUGAVPILS, LV-5422",Daugavpils,"5,0000",20,"5,0000",20,"22,5000",90,"15,0000",60,"47,5000",47,vidusskola,Valstspilsētas
422,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Draudzīgā aicinājuma vidusskola programmu īstenošanas vieta AVEŅU IELA 40, DAUGAVPILS, LV-5422",Daugavpils,"13,0000",52,"5,0000",20,"13,7500",55,"23,0000",92,"54,7500",54,vidusskola,Valstspilsētas
423,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Draudzīgā aicinājuma vidusskola programmu īstenošanas vieta VALMIERAS IELA 5, DAUGAVPILS, LV-5404",Daugavpils,"12,0000",48,"4,0000",16,"14,3750",57,"18,0000",72,"48,3750",48,vidusskola,Valstspilsētas
424,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Draudzīgā aicinājuma vidusskola programmu īstenošanas vieta VALMIERAS IELA 5, DAUGAVPILS, LV-5404",Daugavpils,"8,0000",32,"3,0000",12,"12,5000",50,"17,0000",68,"40,5000",40,vidusskola,Valstspilsētas
425,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Draudzīgā aicinājuma vidusskola programmu īstenošanas vieta VALMIERAS IELA 5, DAUGAVPILS, LV-5404",Daugavpils,"6,0000",24,"5,0000",20,"2,5000",10,"14,0000",56,"27,5000",27,vidusskola,Valstspilsētas
426,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Draudzīgā aicinājuma vidusskola programmu īstenošanas vieta VALMIERAS IELA 5, DAUGAVPILS, LV-5404",Daugavpils,"3,0000",12,"5,0000",20,"2,5000",10,"11,0000",44,"21,5000",21,vidusskola,Valstspilsētas
427,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Draudzīgā aicinājuma vidusskola programmu īstenošanas vieta VALMIERAS IELA 5, DAUGAVPILS, LV-5404",Daugavpils,"3,0000",12,"5,0000",20,"3,7500",15,"15,0000",60,"26,7500",26,vidusskola,Valstspilsētas
428,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Draudzīgā aicinājuma vidusskola programmu īstenošanas vieta VALMIERAS IELA 5, DAUGAVPILS, LV-5404",Daugavpils,"10,0000",40,"5,0000",20,"9,3750",37,"13,0000",52,"37,3750",37,vidusskola,Valstspilsētas
429,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"6,0000",24,"2,0000",8,"11,2500",45,"25,0000",100,"44,2500",44,vidusskola,Valstspilsētas
430,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"14,0000",56,"2,0000",8,"12,5000",50,"21,0000",84,"49,5000",49,vidusskola,Valstspilsētas
431,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"19,0000",76,"12,0000",48,"17,5000",70,"25,0000",100,"73,5000",73,vidusskola,Valstspilsētas
432,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"12,0000",48,"5,0000",20,"13,7500",55,"21,0000",84,"51,7500",51,vidusskola,Valstspilsētas
433,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"16,0000",64,"12,0000",48,"15,0000",60,"25,0000",100,"68,0000",68,vidusskola,Valstspilsētas
434,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"16,0000",64,"9,0000",36,"13,7500",55,"25,0000",100,"63,7500",63,vidusskola,Valstspilsētas
435,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"14,0000",56,"10,0000",40,"20,0000",80,"24,0000",96,"68,0000",68,vidusskola,Valstspilsētas
436,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"16,0000",64,"8,0000",32,"12,5000",50,"24,0000",96,"60,5000",60,vidusskola,Valstspilsētas
437,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"12,0000",48,"7,0000",28,"18,1250",72,"25,0000",100,"62,1250",62,vidusskola,Valstspilsētas
438,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"12,0000",48,"11,0000",44,"16,8750",67,"25,0000",100,"64,8750",64,vidusskola,Valstspilsētas
439,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"16,0000",64,"5,0000",20,"11,8750",47,"25,0000",100,"57,8750",57,vidusskola,Valstspilsētas
440,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"23,0000",92,"20,0000",80,"14,3750",57,"25,0000",100,"82,3750",82,vidusskola,Valstspilsētas
441,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"17,0000",68,"9,0000",36,"8,7500",35,"22,0000",88,"56,7500",56,vidusskola,Valstspilsētas
442,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"7,0000",28,"6,0000",24,"8,7500",35,"20,0000",80,"41,7500",41,vidusskola,Valstspilsētas
443,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"10,0000",40,"4,0000",16,"16,8750",67,"25,0000",100,"55,8750",55,vidusskola,Valstspilsētas
444,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"19,0000",76,"20,0000",80,"20,6250",82,"25,0000",100,"84,6250",84,vidusskola,Valstspilsētas
445,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"5,0000",20,"4,0000",16,"8,1250",32,"19,0000",76,"36,1250",36,vidusskola,Valstspilsētas
446,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"11,0000",44,"2,0000",8,"11,8750",47,"20,0000",80,"44,8750",44,vidusskola,Valstspilsētas
447,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"4,0000",16,"2,0000",8,"11,2500",45,"18,0000",72,"35,2500",35,vidusskola,Valstspilsētas
448,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"7,0000",28,"9,0000",36,"6,2500",25,"18,0000",72,"40,2500",40,vidusskola,Valstspilsētas
449,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"6,0000",24,"3,0000",12,"10,0000",40,"19,0000",76,"38,0000",38,vidusskola,Valstspilsētas
450,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"12,0000",48,"10,0000",40,"15,0000",60,"24,0000",96,"61,0000",61,vidusskola,Valstspilsētas
451,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"15,0000",60,"7,0000",28,"11,2500",45,"21,0000",84,"54,2500",54,vidusskola,Valstspilsētas
452,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"12,0000",48,"6,0000",24,"13,1250",52,"18,0000",72,"49,1250",49,vidusskola,Valstspilsētas
453,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"9,0000",36,"4,0000",16,"10,0000",40,"18,0000",72,"41,0000",41,vidusskola,Valstspilsētas
454,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"15,0000",60,"15,0000",60,"12,5000",50,"25,0000",100,"67,5000",67,vidusskola,Valstspilsētas
455,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"10,0000",40,"10,0000",40,"18,7500",75,"25,0000",100,"63,7500",63,vidusskola,Valstspilsētas
456,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"13,0000",52,"10,0000",40,"11,8750",47,"22,0000",88,"56,8750",56,vidusskola,Valstspilsētas
457,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"12,0000",48,"6,0000",24,"15,0000",60,"25,0000",100,"58,0000",58,vidusskola,Valstspilsētas
458,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"14,0000",56,"12,0000",48,"14,3750",57,"20,0000",80,"60,3750",60,vidusskola,Valstspilsētas
459,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"20,0000",80,"5,0000",20,"16,2500",65,"20,0000",80,"61,2500",61,vidusskola,Valstspilsētas
460,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"3,0000",12,"7,0000",28,"10,0000",40,"17,0000",68,"37,0000",37,vidusskola,Valstspilsētas
461,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"14,0000",56,"6,0000",24,"13,7500",55,"20,0000",80,"53,7500",53,vidusskola,Valstspilsētas
462,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"14,0000",56,"9,0000",36,"10,0000",40,"20,0000",80,"53,0000",53,vidusskola,Valstspilsētas
463,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"19,0000",76,"11,0000",44,"12,5000",50,"18,0000",72,"60,5000",60,vidusskola,Valstspilsētas
464,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"11,0000",44,"4,0000",16,"9,3750",37,"20,0000",80,"44,3750",44,vidusskola,Valstspilsētas
465,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"10,0000",40,"8,0000",32,"12,5000",50,"19,0000",76,"49,5000",49,vidusskola,Valstspilsētas
466,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"18,0000",72,"12,0000",48,"9,3750",37,"17,0000",68,"56,3750",56,vidusskola,Valstspilsētas
467,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"14,0000",56,"7,0000",28,"11,2500",45,"17,0000",68,"49,2500",49,vidusskola,Valstspilsētas
468,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,"Daugavpils Iespēju vidusskola programmu īstenošanas vieta VALKAS IELA 4, DAUGAVPILS, LV-5417",Daugavpils,"13,0000",52,"4,0000",16,"7,5000",30,"15,0000",60,"39,5000",39,vidusskola,Valstspilsētas
469,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Daugavpils Tehnoloģiju vidusskola - licejs,Daugavpils,"16,0000",64,"11,0000",44,"15,0000",60,"22,0000",88,"64,0000",64,vidusskola,Valstspilsētas
470,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Daugavpils Tehnoloģiju vidusskola - licejs,Daugavpils,"23,0000",92,"12,0000",48,"20,0000",80,"24,0000",96,"79,0000",79,vidusskola,Valstspilsētas
471,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Daugavpils Tehnoloģiju vidusskola - licejs,Daugavpils,"13,0000",52,"8,0000",32,"20,0000",80,"24,0000",96,"65,0000",65,vidusskola,Valstspilsētas
472,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Daugavpils Tehnoloģiju vidusskola - licejs,Daugavpils,"16,0000",64,"9,0000",36,"13,7500",55,"19,0000",76,"57,7500",57,vidusskola,Valstspilsētas
473,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Daugavpils Tehnoloģiju vidusskola - licejs,Daugavpils,"12,0000",48,"8,0000",32,"8,7500",35,"17,0000",68,"45,7500",45,vidusskola,Valstspilsētas
474,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Daugavpils Tehnoloģiju vidusskola - licejs,Daugavpils,"14,0000",56,"14,0000",56,"17,5000",70,"22,0000",88,"67,5000",67,vidusskola,Valstspilsētas
475,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Daugavpils Tehnoloģiju vidusskola - licejs,Daugavpils,"10,0000",40,"6,0000",24,"17,5000",70,"22,0000",88,"55,5000",55,vidusskola,Valstspilsētas
476,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Daugavpils Tehnoloģiju vidusskola - licejs,Daugavpils,"20,0000",80,"15,0000",60,"11,8750",47,"21,0000",84,"67,8750",67,vidusskola,Valstspilsētas
477,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Daugavpils Tehnoloģiju vidusskola - licejs,Daugavpils,"21,0000",84,"20,0000",80,"21,8750",87,"23,0000",92,"85,8750",85,vidusskola,Valstspilsētas
478,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Daugavpils Tehnoloģiju vidusskola - licejs,Daugavpils,"8,0000",32,"5,0000",20,"6,8750",27,"17,0000",68,"36,8750",36,vidusskola,Valstspilsētas
479,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Daugavpils Tehnoloģiju vidusskola - licejs,Daugavpils,"13,0000",52,"8,0000",32,"14,3750",57,"17,0000",68,"52,3750",52,vidusskola,Valstspilsētas
480,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Daugavpils Tehnoloģiju vidusskola - licejs,Daugavpils,"18,0000",72,"18,0000",72,"21,8750",87,"24,0000",96,"81,8750",81,vidusskola,Valstspilsētas
481,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Daugavpils Tehnoloģiju vidusskola - licejs,Daugavpils,"11,0000",44,"9,0000",36,"13,1250",52,"21,0000",84,"54,1250",54,vidusskola,Valstspilsētas
482,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Daugavpils Tehnoloģiju vidusskola - licejs,Daugavpils,"13,0000",52,"3,0000",12,"20,6250",82,"23,0000",92,"59,6250",59,vidusskola,Valstspilsētas
483,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Daugavpils Tehnoloģiju vidusskola - licejs,Daugavpils,"9,0000",36,"10,0000",40,"17,5000",70,"22,0000",88,"58,5000",58,vidusskola,Valstspilsētas
484,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Daugavpils Tehnoloģiju vidusskola - licejs,Daugavpils,"7,0000",28,"10,0000",40,"17,5000",70,"21,0000",84,"55,5000",55,vidusskola,Valstspilsētas
485,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Daugavpils Tehnoloģiju vidusskola - licejs,Daugavpils,"13,0000",52,"11,0000",44,"19,3750",77,"24,0000",96,"67,3750",67,vidusskola,Valstspilsētas
486,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Daugavpils Tehnoloģiju vidusskola - licejs,Daugavpils,"20,0000",80,"22,0000",88,"21,8750",87,"24,0000",96,"87,8750",87,vidusskola,Valstspilsētas
487,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Daugavpils Tehnoloģiju vidusskola - licejs,Daugavpils,"5,0000",20,"6,0000",24,"8,7500",35,"17,0000",68,"36,7500",36,vidusskola,Valstspilsētas
488,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Daugavpils Tehnoloģiju vidusskola - licejs,Daugavpils,"19,0000",76,"21,0000",84,"15,6250",62,"17,0000",68,"72,6250",72,vidusskola,Valstspilsētas
489,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Daugavpils Tehnoloģiju vidusskola - licejs,Daugavpils,"16,0000",64,"12,0000",48,"13,7500",55,"18,0000",72,"59,7500",59,vidusskola,Valstspilsētas
490,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Daugavpils Tehnoloģiju vidusskola - licejs,Daugavpils,"19,0000",76,"18,0000",72,"22,5000",90,"24,0000",96,"83,5000",83,vidusskola,Valstspilsētas
491,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Daugavpils Tehnoloģiju vidusskola - licejs,Daugavpils,"16,0000",64,"14,0000",56,"23,7500",95,"24,0000",96,"77,7500",77,vidusskola,Valstspilsētas
492,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Daugavpils Tehnoloģiju vidusskola - licejs,Daugavpils,"10,0000",40,"5,0000",20,"10,0000",40,"20,0000",80,"45,0000",45,vidusskola,Valstspilsētas
493,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Daugavpils Tehnoloģiju vidusskola - licejs,Daugavpils,"11,0000",44,"4,0000",16,"15,0000",60,"22,0000",88,"52,0000",52,vidusskola,Valstspilsētas
494,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Daugavpils Tehnoloģiju vidusskola - licejs,Daugavpils,"13,0000",52,"6,0000",24,"22,5000",90,"16,0000",64,"57,5000",57,vidusskola,Valstspilsētas
495,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Daugavpils Tehnoloģiju vidusskola - licejs,Daugavpils,"9,0000",36,"4,0000",16,"15,0000",60,"18,0000",72,"46,0000",46,vidusskola,Valstspilsētas
496,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Daugavpils Tehnoloģiju vidusskola - licejs,Daugavpils,"18,0000",72,"9,0000",36,"13,7500",55,"25,0000",100,"65,7500",65,vidusskola,Valstspilsētas
497,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Daugavpils Tehnoloģiju vidusskola - licejs,Daugavpils,"16,0000",64,"15,0000",60,"15,0000",60,"22,0000",88,"68,0000",68,vidusskola,Valstspilsētas
498,Eksāmens angļu valodā (augstākais mācību satura apguves līmenis) 2024./2025. m.g.,Daugavpils Tehnoloģiju vidusskola - licejs,Daugavpils,"11,0000",44,"2,0000",8,"18,1250",72,"20,0000",80,"51,1250",51,vidusskola,Valstspilsētas
